187,11.4,कण्ठ-,कण्ठ,గొంతు,
188,11.5,शिरो-,शिरस्,శిరో,
189,11.6,रोगान्,रोग{पुं;2;बहु},రోగములను,
190,12.1,प्रकुर्वते,प्र_कृ3{कर्तरि;लट्;प्र;बहु;आत्मनेपदी;तनादिः},కలిగించును,
191,13.1,.,-,,
192,2.1,खेदित-,खेदित,,
193,2.2,उदकाः,उदका{स्त्री;1;बहु},నీళ్ళు,
194,3.1,हिमवन्-,हिम{मतुप्},హిమాలయ పర్వతము,
195,3.2,मलय-,मलय,మలయ పర్వతము,
196,3.3,उद्भूताः,द्भूता{स्त्री;1;बहु(उत्_भू1;क्त;भ्वादिः)},జనించినవి,
197,4.1,(नद्यः),नदी{स्त्री;1;बहु},నదులు,
198,5.1,पथ्याः,पथ्या{स्त्री;1;बहु},పథ్యకరములు,
199,6.1,(भवन्ति),भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः},ఔతాయి,
200,7.1,ताः,तद्{सर्व;स्त्री;1;बहु},,
201,8.1,एव,एव{अव्य},కాబట్టి,"in its most frequent use of strengthening the idea expressed by any word, एव must be variously rendered by such adverbs as) just, exactly, very, same, only, even, alone, merely, immediately on, still, already"
202,9.1,च,च{अव्य},మరియు,
203,1.1,प्राच्य-,प्राच्य,గౌడ,
204,1.2,अवन्ति-,अन्ति,మాళవ,
205,1.3,अपरान्ता-,-अपरान्ता,కొంకణ దేశమ,
206,1.4,उत्थाः,उत्था{स्त्री;1;बहु},ఉద్భవించిన,
207,10.1,(जनयन्ति),जन्2{णिच्;कर्तरि;लट्;प्र;बहु;परस्मैपदी;दिवादिः}జనింపచేయును,కలిగించును,
208,11.1,दोष-,दोष,దోషములను,
209,11.2,घ्न्यः,घ्नी{स्त्री;1;बहु},హరించును,
210,12.1,पारियात्र-,पारियात्र,పారియాత్ర పర్వతము,
211,12.2,जाः,जा{स्त्री;1;बहु},జనించిన,
212,13.1,बल-,बल,బల,
213,13.2,पौरुष-,पौरुष,పుంస్త్వ,
214,13.3,कारिण्यः,कारिन्{स्त्री;1;बहु},కారకము,
215,14.1,(च),च{अव्य},మరియు,
216,15.1,(भवन्ति),भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः},ఔతాయి,
217,16.1,सागर-,सागर,సముద్రపు  ,
218,16.2,अम्भः,अम्भस्{नपुं;1;एक},నీరు,
219,17.1,त्रि-,त्रि,మూడు,
220,17.2,दोष-,दोष,దోషములను,
221,17.3,कृत्,कृत्{नपुं;1;एक},కలిగించును,
222,18.1,(भवति),भू1{कर्तरि;लट्;प्र;एक;परस्मैपदी;भ्वादिः},ఔతుంది,
223,19.1,-,-,,
224,2.1,दुः-,दुर्,దు-,
225,2.2,नामानि,नामन्{नपुं;2;बहु},ర్నామ రోగము(అర్శస్సు),
226,3.1,(जनयन्ति),जन्2{णिच्;कर्तरि;लट्;प्र;बहु;परस्मैपदी;दिवादिः},కలిగించును,
227,4.1,महा-,महत्,మహా-,
228,4.2,इन्द्र-,इन्द्र,ఇంద్ర పర్వతమున,
229,4.3,जाः,जा{स्त्री;1;बहु},జనించిన నదులు,
230,5.1,उदर-,उदर,ఉదర వ్యాధులు(వాతోదరము మొ),
231,5.2,श्लीपद-,श्लीपद,శ్లీపదము(బోదకాలు),
232,5.3,आतङ्कान्,आतङ्क{पुं;2;बहु},రోగములను,
233,6.1,(जनयन्ति),जन्2{णिच्;कर्तरि;लट्;प्र;बहु;परस्मैपदी;दिवादिः},కలిగించును,
234,7.1,सह्य-,सह्य,సహ్య పర్వతము,
235,7.2,विन्ध्य-,विन्ध्य,వింధ్య పర్వతమున,
236,7.3,उद्भवाः,उद्भवा{स्त्री;1;बहु},ఉద్భవించిన,
237,8.1,पुनः,पुनः{अव्य},మరల,
238,9.1,कुष्ठ-,कुष्ठ,"కుష్ఠము,చర్మ రోగము",
239,9.2,पाण्डु-,पाण्डु,పాండు ,
240,9.3,शिरः-,शिरस्,శిరో ,
241,9.4,रोगान्,रोग{पुं;2;बहु},రోగములను,
242,1.1,विद्यात्,विद्1{कर्तरि;आशीर्लिङ्;प्र;एक;परस्मैपदी;अदादिः},తెలుసుకోవాలి,
243,2.1,कूप-,कूप,బావి,
244,2.2,तडाग-,तडाग,చెరువు,
245,2.3,आदीन्,आदि{पुं;2;बहु},మొదలగు వానిని,
246,3.1,जाङ्गल-,जाङ्गल,జాంగల దేశము,
247,3.2,अनूप-,अनूप,అనూప దేశము,
248,3.3,शैलतः,शैलतः{अव्य},పర్వత ప్రదేశములు,
249,4.1,.,-,,
250,1.1,न,न{अव्य},కాదు,
251,10.1,(पेयम्),पेय{नपुं;2;एक(पि1;यत्;तुदादिः)},"పాన యోగ్యము, తాగదగినది",
252,11.1,.,-,,
253,2.1,अम्बु,अम्बु{नपुं;2;एक},"జలమును, నీటిని",
254,3.1,पेयम्,पेय{नपुं;2;एक(पि1;यत्;तुदादिः)},"పాన యోగ్యము, తాగదగినది",
255,4.1,अ-,अ,అ-,
256,4.2,शक्त्या,शक्ति{स्त्री;3;एक},శక్తిచే,
257,5.1,वा,वा{अव्य},"లేకుంటే, లేదా",
258,6.1,स्वल्पम्,स्वल्प{नपुं;2;एक},చాలా కొంచెము,
259,7.1,अल्प-,अल्प,"అల్పమైన, మంద",
260,7.2,अग्नि-,अग्नि,అగ్ని,
261,7.3,गुल्मिभिः,गुल्मिन्{पुं;3;बहु},గుల్మ రోగము,
262,8.1,पाण्डु-,पाण्डु,పాండు రోగము,
263,8.2,उदर-,उदर,ఉదర వ్యాధులు(వాతోదరము మొ),
264,8.3,अतिसार-,अतिसार,అతిసారము,
265,8.4,अर्श-,-अर्श,"అర్శస్సు,మొలలు",
266,8.5,ग्रहणी-,ग्रहणी,గ్రహణీ రోగము,
267,8.6,शोष-,शोष,శోష,
268,8.7,शोथिभिः,-,"శోథ,వాపు ",
269,9.1,च,च{अव्य},మరియు,
270,1.1,ऋते,ऋते{अव्य},ఋతువులో,
271,2.1,शरत्-,शरत्,శరదృతువు,
272,2.2,निदाघाभ्याम्,निदाघ{पुं;5;द्वि(नि_दह्1;घञ्;भ्वादिः)},గ్రీష్మ ఋతువులలో తప్ప,
273,3.1,पिबेत्,पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः},"తాగాలి,తాగవలెను",
274,4.1,स्वस्थः,स्वस्थ{पुं;1;एक},"స్వస్థుడు,ఆరోగ్యవంతుడు",
275,5.1,अपि,अपि{अव्य},కూడా,
276,6.1,च,च{अव्य},మరియు,
277,7.1,अल्पशः,अल्पशः{अव्य},కొంచెముగా,
278,8.1,.,-,,
279,1.1,सम-,सम,సమ శరీరము,
280,1.2,स्थूल-,स्थूल,స్థౌల్యము,
281,1.3,कृशाः,कृश{पुं;1;बहु},కృశత్వములు,
282,2.1,भुक्त-,भुक्त,భోజనము,
283,2.2,मध्य-,मध्य,మధ్యలో,
284,2.3,अन्त-,अन्त,అంతములో/ఆఖరిలో,
285,2.4,प्रथम-,प्रथम,ఆరంభమున,
286,2.5,अम्बु-,अम्बु,నీరు,
287,2.6,पाः,पा{स्त्री;1;बहु},పానము చేసిన,
288,3.1,(भवन्ति),भू1{कर्तरि;लट्;प्र;बहु;परस्मैपदी;भ्वादिः},ఔతాయి,
289,4.1,.,-,,
